,datetime,ignore,imgPath,r0x1,r0y1,r0x2,r0y2,r0ticks,r1x1,r1y1,r1x2,r1y2,r1ticks,l0x1,l0y1,l0x2,l0y2,l1x1,l1y1,l1x2,l1y2,timestamp
73,2015-09-25 08:50:37,0.0,IMG_4797.JPG,,,,,,,,,,,,,,,,,,,1443163837.0
74,2015-09-25 15:12:33,0.0,IMG_4799.JPG,,,,,,,,,,,,,,,,,,,1443186753.0
75,2015-09-26 12:13:39,0.0,IMG_4803.JPG,76.0,294.0,879.0,242.0,8.0,818.0,773.0,759.0,79.0,7.0,714.0,445.0,303.0,475.0,542.0,655.0,523.0,267.0,1443262419.0
76,2015-09-26 12:14:00,0.0,IMG_4804.JPG,938.0,780.0,894.0,37.0,6.0,67.0,289.0,804.0,253.0,6.0,859.0,485.0,347.0,544.0,674.0,741.0,624.0,259.0,1443262440.0
77,2015-09-26 12:14:28,0.0,IMG_4805.JPG,,,,,,,,,,,,,,,,,,,1443262468.0
78,2015-09-26 13:46:34,0.0,IMG_4806.JPG,,,,,,,,,,,,,,,,,,,1443267994.0
79,2015-09-26 13:46:37,0.0,IMG_4807.JPG,873.0,633.0,867.0,74.0,7.0,438.0,243.0,972.0,206.0,7.0,521.0,413.0,819.0,387.0,695.0,546.0,674.0,240.0,1443267997.0
80,2015-09-26 22:24:08,0.0,IMG_4809.JPG,962.0,800.0,965.0,262.0,5.0,374.0,187.0,868.0,169.0,5.0,889.0,385.0,488.0,425.0,723.0,590.0,698.0,187.0,1443299048.0
81,2015-09-26 22:24:41,0.0,IMG_4810.JPG,,,,,,,,,,,,,,,,,,,1443299081.0
82,2015-09-27 12:02:11,0.0,IMG_4811.JPG,,,,,,,,,,,,,,,,,,,1443348131.0
83,2015-09-27 12:02:30,0.0,IMG_4812.JPG,363.0,530.0,777.0,515.0,6.0,744.0,431.0,747.0,5.0,6.0,695.0,374.0,417.0,381.0,554.0,525.0,566.0,241.0,1443348150.0
84,2015-09-27 12:02:54,0.0,IMG_4813.JPG,,,,,,,,,,,,,,,,,,,1443348174.0
85,2015-09-27 14:47:43,0.0,IMG_4814.JPG,,,,,,,,,,,,,,,,,,,1443358063.0
86,2015-09-27 14:47:50,0.0,IMG_4815.JPG,,,,,,,,,,,,,,,,,,,1443358070.0
87,2015-09-27 16:00:29,0.0,IMG_4816.JPG,,,,,,,,,,,,,,,,,,,1443362429.0
88,2015-09-27 16:01:50,0.0,IMG_4820.JPG,810.0,496.0,817.0,233.0,5.0,454.0,201.0,758.0,192.0,6.0,787.0,307.0,583.0,313.0,682.0,407.0,684.0,206.0,1443362510.0
